Id,Name,IsPartner,IsCustomerPortal,AccountSource,IsBuyer
0019r000001gYGAAA2,Bond (John) Administrative Account,false,false,,false
0019r000001gYGBAA2,Boyle (Lauren) Administrative Account,false,false,,false
0019r000001gYGCAA2,Song (Arthur) Administrative Account,false,false,,false
0019r000001gYGDAA2,Solo (Hann) Administrative Account,false,false,,false
0019r000001gYGEAA2,Banana (Ana) Administrative Account,false,false,,false
0019r000001gYGFAA2,Test2 (Ana) Administrative Account,false,false,,false
0019r000001gYGGAA2,Li (Wushi) Administrative Account,false,false,,false
0019r000001gYGHAA2,Lee (Cristy) Administrative Account,false,false,,false
0019r000001gYcbAAE,United BC Corp,true,false,,true
0019r000001gYccAAE,Central Perc Co.,true,false,,true
0019r000001gYcdAAE,Test Corporation,true,false,Outbound Enquiry,true
